"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr";"dh"
1;1;22.7;27.9;0;8.44;0;0;11.2
1;2;21.1;28.3;0;15.24;0;0;7
1;3;19.5;29.1;0;20.14;0;0;7.6
1;4;19.5;28.5;0;16.49;0;0;7
1;5;20.7;28.1;0;12.99;0;0;7.2
1;6;20.2;28.1;0;13.36;0;0;10.4
1;7;20.2;28.5;0;18.36;0;0;7
1;8;19;27.9;0;15.71;0;0;9.9
1;9;19.5;27.9;0;18.94;0;0;11.9
1;10;20.8;27.5;0;14.52;0;0;13.6
1;11;19.2;28.6;0;17.93;0;0;4.7
1;12;21.5;27.5;0;15;0;0;12
1;13;20.2;28.1;0;16.38;0;0;12.7
1;14;19.7;28.6;0;20.44;0;0;8.2
1;15;19.5;28.2;0;19.88;0;0;11.7
1;16;18.3;28;0;19.88;0;0;10.7
1;17;19.5;26.1;0;6.7;0;0;18.1
1;18;21.5;27.8;0;16.57;0;0;12.6
1;19;19.2;28.5;0;19.61;0;0;9.5
1;20;21;28.6;0;13.6;0;0;13.3
1;21;20.8;28.2;0;11.93;0;0;12.8
1;22;21;27.9;0;16.6;0;0;3
1;23;19.5;29.5;0;20.75;0;0;0
1;24;18.4;28.7;0;21.27;0;0;3
1;25;19.3;25.3;0;6.58;0;0;20.4
1;26;21.8;26.1;0;6.83;0;0;14.2
1;27;19.4;27.6;0;16.45;0;0;7.4
1;28;18.9;27.25;0;14.615;0;0;7.1
1;29;18.4;26.9;0;12.78;0;0;6.8
1;30;19.2;27.9;0;20.18;0;0;5.9
1;31;18.7;27.8;0;22.23;0;0;2
2;1;18.6;27.5;0;17.86;0;0;7
2;2;19.6;27.6;0;20.27;0;0;5.8
2;3;21;27.1;0;16.39;0;0;5
2;4;19.1;28.4;0;15.2;0;0;2.8
2;5;18.4;28.8;0;21.15;0;0;3.8
2;6;19.1;28;0;15.77;0;0;4.1
2;7;18.9;28.4;0;19.35;0;0;1.5
2;8;18.9;28.5;0;20.07;0;0;0.9
2;9;19.8;28.5;0;18.37;0;0;0.4
2;10;20.9;28.3;0;18.76;0;0;6.3
2;11;18;29.4;0;17.86;0;0;0.4
2;12;20.4;29.7;0;18.26;0;0;9
2;13;18.8;28.6;0;17.67;0;0;12.5
2;14;19;29;0;18.56;0;0;12.1
2;15;20.3;29;0;17.3;0;0;9
2;16;23.5;28.9;0;16.08;0;0;5
2;17;21.3;29.9;0;21.32;0;0;8.2
2;18;20.6;29.4;0;19.28;0;0;1.9
