"AN";"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr"
2010;1;1;1.7;5.2;0;3.45;0.5;89
2010;1;2;-4.1;6.9;0;6.3;0;86
2010;1;3;0;4.6;0;3.43;0;75
2010;1;4;-4;1.8;0;6.07;0;70
2010;1;5;-5.2;3.4;0;6.53;0;83
2010;1;6;-3.9;2.7;0;2.4;1;97
2010;1;7;-3.6;2.5;0;5.77;0;82
2010;1;8;-5.2;1;0;7.41;0;83
2010;1;9;-4.1;1;0;4.08;0;82
2010;1;10;-0.9;1.9;0;1.59;0;91
2010;1;11;-2.7;2.6;0;4.01;0;91
2010;1;12;-3.9;0.6;0;1.17;0;95
2010;1;13;-2.4;9.4;0;4.98;4.5;97
2010;1;14;0.4;6.4;0;1.83;0.5;99
2010;1;15;-2.5;6.6;0;3.43;1.5;100
2010;1;16;2.9;12.1;0;1.04;1.5;94
2010;1;17;1.9;13.2;0;6.42;0.5;88
2010;1;18;-0.2;5.4;0;2.65;0;100
2010;1;19;3.1;5.2;0;3.32;4;94
2010;1;20;3.3;11.7;0;7.09;0;89
2010;1;21;-1.8;9.2;0;3.94;2;99
2010;1;22;6.6;8.5;0;1.11;1;97
2010;1;23;6.1;7.6;0;0.98;0.5;100
2010;1;24;3.9;7.2;0;3;0.5;89
2010;1;25;-0.5;7.4;0;3.4;0;95
2010;1;26;0.1;4.2;0;1.63;0.5;87
2010;1;27;-3.3;6.4;0;7.08;1;70
2010;1;28;1.9;8.8;0;3.44;0.5;92
2010;1;29;5;9.7;0;2.97;8;91
2010;1;30;0.7;5.5;0;7.21;2;88
2010;1;31;-5.3;6.4;0;7.66;0;88
2010;2;1;-1.9;8.5;0;7.48;0.5;90
2010;2;2;-1.5;9;0;2.69;0.5;96
2010;2;3;6.9;11.9;0;5.25;0;89
2010;2;4;4.2;10.6;0;5.45;4.5;83
2010;2;5;3.1;11.2;0;7.36;7.5;91
2010;2;6;5.5;9.5;0;3.14;0;91
2010;2;7;2.1;7.6;0;4.05;0;90
2010;2;8;-0.5;4.6;0;2.81;0;89
2010;2;9;0.6;4;0;3.52;0;79
2010;2;10;-3.1;5.8;0;7.02;0.5;85
2010;2;11;-2;2.3;0;9.34;0;79
2010;2;12;-0.5;5.9;0;10.02;0;74
2010;2;13;-1.4;4.8;0;6.45;0;81
2010;2;14;-2.1;3.9;0;11.1;0;68
2010;2;15;-1.7;7.2;0;8.25;0;79
2010;2;16;-2.7;6.9;0;11.41;0;74
2010;2;17;-4.6;10.2;0;10.7;0;80
2010;2;18;-1.2;11.9;0;8.93;1.5;88
2010;2;19;0;10.1;0;9.45;1.5;89
2010;2;20;-0.8;10.3;0;10.38;0.5;86
2010;2;21;-0.8;10.4;0;7.49;6.5;89
2010;2;22;5.8;14.2;0;6.22;6;92
2010;2;23;8.4;14.6;0;8.57;5;89
2010;2;24;6.7;11.5;0;5.29;6;92
2010;2;25;7.5;13.9;0;5.32;15.5;92
2010;2;26;5.2;12.7;0;12.35;0;77
2010;2;27;6.1;11.3;0;5.46;24;89
2010;2;28;5.6;11.9;0;9.78;1;84
2010;3;1;-1.1;8.3;0;4.49;6;97
2010;3;2;1.5;12;0;13.36;0;82
2010;3;3;5.7;11.2;0;10.87;0;61
2010;3;4;0.6;9.4;0;12.48;0;69
2010;3;5;-2.4;8.5;0;16.22;0;74
2010;3;6;-3.3;9.2;0;9.93;0;86
2010;3;7;-2.1;5.2;0;15.97;0;60
2010;3;8;-2.5;8.3;0;16.75;0;50
2010;3;9;-0.9;7.6;0;15.96;0;68
2010;3;10;-1.1;8.7;0;12.8;0;66
2010;3;11;2.3;9.3;0;16.53;0;72
2010;3;12;-1.2;9.3;0;7.45;2.5;86
2010;3;13;3.5;8.8;0;7.44;0;90
2010;3;14;1;11.5;0;8.46;0;87
2010;3;15;-1.6;14.1;0;13.9;0;85
2010;3;16;-2.5;14.9;0;16.68;0.5;76
2010;3;17;1.6;19.2;0;15.79;0;69
2010;3;18;4.7;16.7;0;10.36;0;74
2010;3;19;10.8;13.6;0;3.54;13.5;96
2010;3;20;11.4;14.3;0;3.78;0;97
2010;3;21;5.3;12.8;0;11.79;0;79
2010;3;22;0.9;13.6;0;11.97;0;85
2010;3;23;8.7;13.4;0;9.16;0;92
2010;3;24;8.5;17.9;0;7.93;0.5;92
2010;3;25;8.1;16.1;0;8.07;6;91
2010;3;26;6.7;13;0;11.37;3;90
2010;3;27;7.5;14.3;0;8.41;4;90
2010;3;28;8.5;14.4;0;5.56;1.5;98
2010;3;29;10;14.5;0;6.58;2;95
2010;3;30;7.2;12.5;0;13.37;2.5;84
2010;3;31;4.9;12.5;0;17.37;1;66
2010;4;1;0.9;12.7;0;19.52;2;71
2010;4;2;5.3;13.4;0;15.22;8;85
2010;4;3;5.2;12.9;0;13.4;4;85
2010;4;4;5.1;12.1;0;17.09;0.5;79
2010;4;5;1.2;13.7;0;12.19;0;84
2010;4;6;3.4;19.3;0;20.04;0;74
2010;4;7;8.6;14.5;0;16.65;0.5;86
2010;4;8;4.4;15.4;0;22.36;0;77
2010;4;9;1.3;18;0;22.09;0;72
2010;4;10;4.9;18.9;0;21.73;0;69
2010;4;11;5.6;13.1;0;13.27;0;77
2010;4;12;4.2;14.1;0;22.33;0;75
2010;4;13;5.4;14.9;0;13.73;0;76
2010;4;14;4;14.5;0;16.44;0;76
2010;4;15;3.3;17;0;19.16;0;75
2010;4;16;4.1;17.3;0;23.01;0;70
2010;4;17;2;19.2;0;23.14;0;73
2010;4;18;2.8;21.7;0;23.51;0;68
2010;4;19;4.9;21.6;0;20.9;0;72
2010;4;20;4.6;16.5;0;22.46;0;74
2010;4;21;1.2;17.2;0;21.81;0;71
2010;4;22;6.1;18.4;0;22.23;0;58
2010;4;23;3.4;20.8;0;24.19;0;63
2010;4;24;2.4;22.2;0;22.4;0;73
2010;4;25;9.2;20.9;0;17.98;0;78
2010;4;26;4.6;20.1;0;20.15;0.5;79
2010;4;27;4.5;21.6;0;23.12;0;73
2010;4;28;6;25.6;0;22.46;0;66
2010;4;29;8;22.4;0;16.1;1.5;82
2010;4;30;8.2;17.4;0;16.32;0;77
2010;5;1;8.9;15.8;0;9.67;3;93
2010;5;2;5.8;14.5;0;15.95;1.5;87
2010;5;3;7.1;12.1;0;13.08;0.5;68
2010;5;4;4;12.4;0;20.06;0;64
2010;5;5;4.8;13.3;0;15.74;0;73
2010;5;6;7.6;16.6;0;18.44;0;75
2010;5;7;3.5;14.8;0;22.98;0;65
2010;5;8;5.1;14.3;0;9.69;0.5;83
2010;5;9;6;18.4;0;18.13;0;75
2010;5;10;8.8;12.2;0;4.92;10.5;97
2010;5;11;6.6;13.5;0;16.26;1;80
2010;5;12;2.4;12;0;12.24;0;73
2010;5;13;1.1;14;0;22.8;0;69
2010;5;14;1.4;14.8;0;14.73;0;78
2010;5;15;6.1;16.4;0;23.68;0;77
2010;5;16;4;17.2;0;16.6;0.5;78
2010;5;17;7.2;18.9;0;26.74;0;72
2010;5;18;5.4;19.4;0;20.19;0;79
2010;5;19;7.5;20.6;0;19.37;0;75
2010;5;20;9.1;22.6;0;21.83;0;77
2010;5;21;9.4;25.7;0;28.32;0;66
2010;5;22;12.1;26.3;0;28.68;0;62
2010;5;23;9.6;28.3;0;29.34;0;57
2010;5;24;10.1;30.5;0;29.08;0;60
2010;5;25;11.7;25.5;0;16.9;0;80
2010;5;26;13.4;20.6;0;14.72;14.5;91
2010;5;27;13.5;19.4;0;12.02;0.5;94
2010;5;28;5.6;20.5;0;28.9;0;69
2010;5;29;9.4;19.2;0;8.42;0.5;92
2010;5;30;13.1;20.5;0;11.82;4;84
2010;5;31;10.9;20.1;0;23.36;1;78
2010;6;1;11.5;19.2;0;9.38;2;98
2010;6;2;11.5;18.8;0;16.39;0;83
2010;6;3;8.7;25.6;0;29.51;0;69
2010;6;4;11.3;29.1;0;27.91;0;67
2010;6;5;13.4;28.5;0;23.83;3.5;77
2010;6;6;12.7;22.3;0;21.51;0;80
2010;6;7;9.4;21.5;0;18.82;5.5;81
2010;6;8;13;20.1;0;15.19;0.5;87
2010;6;9;12.3;20.7;0;11.87;0.5;88
2010;6;10;14.7;19;0;8.23;5;100
2010;6;11;14.8;23.2;0;14.33;0;87
2010;6;12;13.9;21.8;0;21.3;0;82
2010;6;13;8.9;22.1;0;26.12;0.5;75
2010;6;14;11;19.7;0;18.43;27.5;88
2010;6;15;12.4;18;0;15.42;0;84
2010;6;16;9.2;18.8;0;29.42;0;74
2010;6;17;11.6;21.3;0;30.73;0;77
2010;6;18;13.7;20.8;0;28.47;0.5;73
2010;6;19;11.7;18.4;0;19.06;0;80
2010;6;20;8.6;17.7;0;22.84;0.5;73
2010;6;21;4.8;22.1;0;28.05;0;68
2010;6;22;8.2;25.9;0;26.54;0;69
2010;6;23;11.3;26.3;0;28.42;0;65
2010;6;24;12.2;26.6;0;29.28;0;68
2010;6;25;11.3;26.8;0;30.43;0;71
2010;6;26;12.3;30.5;0;29.93;0;67
2010;6;27;13.8;28.6;0;23.38;0;74
2010;6;28;15.9;27.6;0;26.18;0;71
2010;6;29;10.7;29.5;0;29.12;0;59
2010;6;30;14.9;29.7;0;27.68;0;73
2010;7;1;11.1;29.9;0;26.55;0;68
2010;7;2;12.6;29.2;0;23.36;0;78
2010;7;3;15.1;24.1;0;20.41;0;71
2010;7;4;11.4;27.9;0;29.24;0;68
2010;7;5;12.9;23.5;0;20.81;0.5;76
2010;7;6;8.8;25;0;28.4;0;70
2010;7;7;10;30.8;0;29.55;0;60
2010;7;8;11.2;32.8;0;28.46;0;68
2010;7;9;16.6;28;0;26.28;0;71
2010;7;10;13.1;31.7;0;27.7;0;71
2010;7;11;13.9;26.1;0;19.1;0;75
2010;7;12;16.1;24.7;0;16.57;1;78
2010;7;13;17;25;0;19.61;0.5;73
2010;7;14;16;24.4;0;14.86;1.5;76
2010;7;15;13;23.3;0;24.3;9;68
2010;7;16;14;22.4;0;20.09;0;78
2010;7;17;11.8;23.2;0;23.77;0;71
2010;7;18;8.9;28.2;0;28.78;0;62
2010;7;19;11.6;31;0;26.57;0;56
2010;7;20;13.8;29.2;0;21.79;2;61
2010;7;21;14.3;24.4;0;18.71;1.5;76
2010;7;22;10.3;24;0;24.22;0;70
2010;7;23;10.1;24.1;0;20.48;0;78
2010;7;24;10.8;24.4;0;14.94;0.5;76
2010;7;25;15.4;25.4;0;19.57;0.5;84
2010;7;26;12.8;26.7;0;19.37;0;84
2010;7;27;15.5;26.6;0;19.37;0;80
2010;7;28;14.3;26.5;0;21.18;2;76
2010;7;29;14.3;24.6;0;22.01;1.5;75
2010;7;30;11.6;26.4;0;20.35;0;76
2010;7;31;15.2;24.7;0;11.53;0;84
2010;8;1;12.1;23.9;0;11.61;8.5;86
2010;8;2;15.3;23.6;0;17.51;1;82
2010;8;3;10.7;23.6;0;14.53;0;80
2010;8;4;15.2;22.2;0;10.46;11;83
2010;8;5;11.4;23.2;0;22.13;0.5;76
2010;8;6;9.8;24.9;0;19.83;0;75
2010;8;7;13.4;23.7;0;10.43;0.5;87
2010;8;8;11.7;25.2;0;20.73;0;79
2010;8;9;12.8;26.2;0;23.89;0.5;72
2010;8;10;11.9;22.2;0;6.52;2.5;93
2010;8;11;16.2;23.3;0;19.06;0;78
2010;8;12;12.9;22.5;0;16.9;0;77
2010;8;13;10.7;21.3;0;12.39;0;77
2010;8;14;9.7;15.8;0;6.87;7.5;97
2010;8;15;12.2;20;0;10.62;0.5;91
2010;8;16;12.1;24.1;0;23.73;0;74
2010;8;17;12.1;19.3;0;6.23;1;94
2010;8;18;11.5;22.6;0;17.02;0;71
2010;8;19;7.4;24.6;0;21.4;0;75
2010;8;20;13.9;25.7;0;14.4;0;85
2010;8;21;18.3;26.1;0;15.42;0.5;84
2010;8;22;14.9;24.5;0;11.03;1;88
2010;8;23;18.5;24.3;0;11.57;0;81
2010;8;24;10.2;23.4;0;16.57;0;71
2010;8;25;13.1;20.9;0;3.91;2.5;97
2010;8;26;19.5;21.7;0;4.41;4.5;97
2010;8;27;15.5;22.7;0;11.35;0.5;91
2010;8;28;9.7;21.8;0;19.7;0.5;76
2010;8;29;9.3;22.8;0;18.76;0;75
2010;8;30;7.9;20.4;0;23.54;0;72
2010;8;31;5.1;23.1;0;22.94;0;66
2010;9;1;8.8;24.4;0;19.93;0;60
2010;9;2;10.5;27.1;0;21.44;0;59
2010;9;3;9.6;28.1;0;20.28;0;68
2010;9;4;9.9;29.1;0;16.83;0;70
2010;9;5;14.9;28;0;15.08;0;57
2010;9;6;13.5;21.1;0;6.19;3;86
2010;9;7;12.9;22.3;0;10.11;23;93
2010;9;8;11.4;21.8;0;14.85;10.5;90
2010;9;9;10.8;22.3;0;14.36;0.5;85
2010;9;10;9;22.9;0;15.75;0;86
2010;9;11;13.3;23.3;0;15;1.5;84
2010;9;12;12.1;20.7;0;17.67;0.5;82
2010;9;13;8.5;21.5;0;14.91;0;74
2010;9;14;9.6;24.1;0;17.82;0;75
2010;9;15;13.4;20.6;0;12.73;3;76
2010;9;16;12.2;19.7;0;12.88;0;69
2010;9;17;8.9;19.4;0;13.53;0;76
2010;9;18;3.6;20.5;0;15.43;0;75
2010;9;19;4.2;21.6;0;17.94;0;71
2010;9;20;4.2;22.6;0;16.76;0;74
2010;9;21;6.7;24.5;0;17.62;0;69
2010;9;22;7.9;27.1;0;13.38;1.5;66
2010;9;23;13.2;20.4;0;5.12;3;91
2010;9;24;10.7;18.8;0;10.75;2;87
2010;9;25;10.8;14.7;0;11.35;0;67
2010;9;26;2.4;16.1;0;11.65;0;71
2010;9;27;6.1;15.7;0;5.2;0;75
2010;9;28;5.5;19.6;0;12.65;0;80
2010;9;29;8.6;17.1;0;5.23;8.5;94
2010;9;30;5.3;18;0;9.13;2;90
2010;10;1;10.4;17.3;0;2.09;14.5;97
2010;10;2;15.8;19.7;0;3.59;11;92
2010;10;3;14.7;17.3;0;3;14.5;91
2010;10;4;14.2;16.4;0;2.5;16.5;94
2010;10;5;10.3;18.2;0;2.64;21.5;99
2010;10;6;13.9;17.7;0;6.79;0;88
2010;10;7;7.9;21.5;0;8.35;0;89
2010;10;8;15.5;23.8;0;12.04;0;79
2010;10;9;15.5;23.4;0;10.96;0;79
2010;10;10;15.6;22.7;0;11.33;0;81
2010;10;11;9.4;19.7;0;12.87;0;62
2010;10;12;8.4;18.7;0;13.29;0;68
2010;10;13;6.3;16.6;0;13.29;0.5;77
2010;10;14;8.6;15;0;5.16;0;82
2010;10;15;9;14;0;3.29;0.5;85
2010;10;16;9.3;15.2;0;10.04;0;77
2010;10;17;6.2;12.9;0;8.68;0;76
2010;10;18;2.1;14.8;0;6;0;88
2010;10;19;10.6;15.8;0;5.94;0.5;78
2010;10;20;5.3;13.5;0;8.51;0;83
2010;10;21;-1.8;13;0;11.41;0;82
2010;10;22;3.3;14.4;0;9.82;0.5;76
2010;10;23;2.6;15.1;0;4.49;1;80
2010;10;24;1.6;14.2;0;8.6;1;86
2010;10;25;1;12.6;0;10.11;0;81
2010;10;26;-1.8;12.4;0;6.76;0;83
2010;10;27;5.5;15.5;0;4.31;0;85
2010;10;28;10.2;16.8;0;6.28;0;93
2010;10;29;8.9;16.6;0;4.83;11.5;88
2010;10;30;7.2;15.7;0;7.05;0;85
2010;10;31;10;15.7;0;4.49;0;88
2010;11;1;10.4;15.7;0;8.48;0;87
2010;11;2;5.5;17.3;0;4.19;0;92
2010;11;3;11.3;18.6;0;3.01;0;93
2010;11;4;14.6;16.6;0;2.28;0;80
2010;11;5;11.8;17.3;0;4.57;0;79
2010;11;6;10.6;13.7;0;1.64;10.5;97
2010;11;7;4.8;9.1;0;4.82;5.5;89
2010;11;8;2.8;13;0;6.08;4.5;86
2010;11;9;7.4;12.4;0;3.7;1;92
2010;11;10;6.5;10.1;0;5.9;1;74
2010;11;11;2.3;15.4;0;1.09;3.5;91
2010;11;12;11.5;16.1;0;2.25;8;84
2010;11;13;14.1;14.9;0;1.13;32;97
2010;11;14;6.9;13.1;0;4.22;1;86
2010;11;15;2.9;11.9;0;6.07;0;93
2010;11;16;-0.6;12.1;0;6.74;0.5;93
2010;11;17;5.1;6.9;0;1.28;2.5;95
2010;11;18;2.4;12.9;0;5.07;0;93
2010;11;19;1.5;11.5;0;3.62;1.5;99
2010;11;20;6.8;10.4;0;3.06;0;86
